Date,Value,labels
02-01-22,16648904.5,1/31/22 10:00
03-01-22,18389806.8,2/28/22 10:00
04-01-22,17331744.9,3/31/22 10:00
05-01-22,17068006.4,4/30/22 10:00
06-01-22,17051002.8,5/31/22 10:00
07-01-22,18644592.8,6/30/22 10:00
08-01-22,18829101.4,7/31/22 10:00
09-01-22,18485702.3,8/31/22 10:00
10-01-22,18940781.9,9/30/22 10:00
11-01-22,18888776.3,10/31/22 10:00
12-01-22,18771152.4,11/30/22 10:00
01-01-23,18415096.3,12/31/22 10:00
02-01-23,17108700.6,1/31/23 10:00
03-01-23,19001530.6,2/28/23 10:00
04-01-23,16823951.5,3/31/23 10:00
05-01-23,16898518.3,4/30/23 10:00
06-01-23,17273622.3,5/31/23 10:00
07-01-23,19222052,6/30/23 10:00
08-01-23,19145985.7,7/31/23 10:00
09-01-23,18466912.8,8/31/23 10:00
10-01-23,18815113.9,9/30/23 10:00
11-01-23,19804471.7,10/31/23 10:00
12-01-23,20636563.9,11/30/23 10:00
01-01-24,18766317.8,12/31/23 10:00
02-01-24,18232764.1,1/31/24 10:00
03-01-24,19908798.1,2/29/24 10:00
04-01-24,18728158,3/31/24 10:00
05-01-24,18145722.7,4/30/24 10:00
06-01-24,18544034.8,5/31/24 10:00
07-01-24,19747619.1,6/30/24 10:00
08-01-24,19927407,7/31/24 10:00
09-01-24,18216181.5,8/31/24 10:00
10-01-24,20582971.2,9/30/24 10:00
11-01-24,20017521.6,10/31/24 10:00
12-01-24,20976812.3,11/30/24 10:00
01-01-25,20656405.1,12/31/24 10:00
