Period,Year,Month,Oil Type,Volume (m3/d),Volume (bbl/d)
02-01-92,1992,February,Heavy,25756.386206,162081.255237
02-01-92,1992,February,Total,136429.862068,858533.612530
03-01-92,1992,March,Light,79041.064516,497394.116128
03-01-92,1992,March,Medium,26724.361290,168172.584016
03-01-92,1992,March,Heavy,29687.474193,186819.029791
03-01-92,1992,March,Total,135452.900000,852385.729935
04-01-92,1992,April,Light,82904.960000,521709.057871
04-01-92,1992,April,Medium,25105.766666,157986.999509
04-01-92,1992,April,Heavy,33294.180000,209515.513672
04-01-92,1992,April,Total,141304.906666,889211.571052
05-01-92,1992,May,Light,71470.003225,449750.510090
05-01-92,1992,May,Medium,24949.338709,157002.620745
05-01-92,1992,May,Heavy,33279.012903,209420.069301
05-01-92,1992,May,Total,129698.354838,816173.200135
06-01-92,1992,June,Light,65715.726666,413539.670564
06-01-92,1992,June,Medium,19650.970000,123660.744121
06-01-92,1992,June,Heavy,29550.120000,185954.679493
06-01-92,1992,June,Total,114916.816666,723155.094179
07-01-92,1992,July,Light,70715.800000,445004.417041
07-01-92,1992,July,Medium,25231.287096,158776.881626
07-01-92,1992,July,Heavy,41043.687096,258282.053653
07-01-92,1992,July,Total,136990.774193,862063.352319
08-01-92,1992,August,Light,73836.261290,464641.033715
08-01-92,1992,August,Medium,23806.877419,149813.275217
08-01-92,1992,August,Heavy,34112.438709,214664.698721
08-01-92,1992,August,Total,131755.577419,829119.007652
09-01-92,1992,September,Light,78368.193333,493159.833995
09-01-92,1992,September,Medium,28681.706666,180489.878569
09-01-92,1992,September,Heavy,31422.603333,197737.949344
09-01-92,1992,September,Total,138472.503333,871387.661909
10-01-92,1992,October,Light,73656.435483,463509.415630
10-01-92,1992,October,Medium,23981.167741,150910.059293
10-01-92,1992,October,Heavy,33883.770967,213225.725321
10-01-92,1992,October,Total,131521.374193,827645.200243
11-01-92,1992,November,Light,79300.300000,499025.447957
11-01-92,1992,November,Medium,24364.000000,153319.167948
11-01-92,1992,November,Heavy,30783.726666,193717.589840
11-01-92,1992,November,Total,134448.026666,846062.205746
12-01-92,1992,December,Light,79490.483870,500222.247861
12-01-92,1992,December,Medium,26089.235483,164175.828139
12-01-92,1992,December,Heavy,33694.367741,212033.837905
12-01-92,1992,December,Total,139274.087096,876431.913906
01-01-93,1993,January,Light,79331.929032,499224.484934
01-01-93,1993,January,Medium,23830.241935,149960.304775
01-01-93,1993,January,Heavy,31519.380645,198346.955129
01-01-93,1993,January,Total,134681.551612,847531.744838
02-01-93,1993,February,Light,79402.350000,499667.634014
02-01-93,1993,February,Medium,22612.496428,142297.206438
02-01-93,1993,February,Heavy,33558.557142,211179.201226
02-01-93,1993,February,Total,135573.403571,853144.041678
03-01-93,1993,March,Light,72006.483870,453126.506073
03-01-93,1993,March,Medium,22512.090322,141665.365171
03-01-93,1993,March,Heavy,36955.454838,232555.392670
03-01-93,1993,March,Total,131474.029032,827347.263914
04-01-93,1993,April,Light,81600.943333,513503.067462
04-01-93,1993,April,Medium,21065.550000,132562.493776
04-01-93,1993,April,Heavy,28145.380000,177114.851551
04-01-93,1993,April,Total,130811.873333,823180.412789
05-01-93,1993,May,Light,87562.735483,551019.772929
05-01-93,1993,May,Medium,22558.406451,141956.825948
05-01-93,1993,May,Heavy,33640.983870,211697.900839
05-01-93,1993,May,Total,143762.125806,904674.499716
06-01-93,1993,June,Light,81857.300000,515116.283306
06-01-93,1993,June,Medium,26096.006666,164218.438224
06-01-93,1993,June,Heavy,38413.510000,241730.725298
06-01-93,1993,June,Total,146366.816666,921065.446829
07-01-93,1993,July,Light,89767.935483,564896.781185
07-01-93,1993,July,Medium,27347.641935,172094.799987
07-01-93,1993,July,Heavy,40903.825806,257401.926553
07-01-93,1993,July,Total,158019.403225,994393.507725
08-01-93,1993,August,Light,88154.887096,554746.098351
08-01-93,1993,August,Medium,26861.316129,169034.421232
08-01-93,1993,August,Heavy,39325.841935,247471.899705
08-01-93,1993,August,Total,154342.045161,971252.419288
09-01-93,1993,September,Light,89380.043333,562455.831350
09-01-93,1993,September,Medium,28012.833333,176280.754332
09-01-93,1993,September,Heavy,37358.973333,235094.676853
09-01-93,1993,September,Total,154751.850000,973831.262535
10-01-93,1993,October,Light,94433.616129,594257.242293
10-01-93,1993,October,Medium,27460.458064,172804.735754
10-01-93,1993,October,Heavy,37768.593548,237672.358291
10-01-93,1993,October,Total,159662.667741,1004734.336339
11-01-93,1993,November,Light,92189.960000,580138.235116
11-01-93,1993,November,Medium,23786.863333,149687.329435
11-01-93,1993,November,Heavy,39532.673333,248773.460114
11-01-93,1993,November,Total,155509.496666,978599.024665
12-01-93,1993,December,Light,88719.319354,558297.989837
12-01-93,1993,December,Medium,25970.516129,163428.744216
12-01-93,1993,December,Heavy,40262.425806,253365.688073
12-01-93,1993,December,Total,154952.261290,975092.422127
01-01-94,1994,January,Light,89776.970967,564953.640193
01-01-94,1994,January,Medium,23493.129032,147838.901483
